Declaration Number,Declaration Type,Declaration Date,State,County,Disaster Type,Disaster Title,Start Date,End Date,Close Date,Individual Assistance Program,Individuals & Households Program,Public Assistance Program,Hazard Mitigation Program
DR-71,Disaster,03/16/1957,HI,,Other,Tidal Wave,03/16/1957,03/16/1957,05/01/1959,Yes,No,Yes,Yes
DR-72,Disaster,04/29/1957,TX,,Hurricane,"Hurricane, Rain, Wind, Hail, and Floods",04/29/1957,04/29/1957,03/01/1961,Yes,No,Yes,Yes
DR-73,Disaster,05/16/1957,LA,,Hurricane,Floods and Hurricane,05/16/1957,05/16/1957,08/01/1960,Yes,No,Yes,Yes
DR-74,Disaster,05/18/1957,OK,,Flood,Flood,05/18/1957,05/18/1957,08/01/1960,Yes,No,Yes,Yes
DR-75,Disaster,05/22/1957,MO,,Tornado,Tornadoes and Floods,05/22/1957,05/22/1957,06/01/1959,Yes,No,Yes,Yes
DR-76,Disaster,05/27/1957,ID,,Flood,Flood,05/27/1957,05/27/1957,12/01/1960,Yes,No,Yes,Yes
DR-77,Disaster,05/29/1957,AR,,Tornado,"Tornadoes, Rain, Hail, and Floods",05/29/1957,05/29/1957,01/28/1966,Yes,No,Yes,Yes
DR-78,Disaster,06/22/1957,IL,,Flood,Floods,06/22/1957,06/22/1957,03/01/1959,Yes,No,Yes,Yes
DR-79,Disaster,06/22/1957,ND,,Tornado,Tornado,06/22/1957,06/22/1957,04/01/1959,Yes,No,Yes,Yes
DR-80,Disaster,06/22/1957,MN,,Flood,Floods,06/22/1957,06/22/1957,06/01/1960,Yes,No,Yes,Yes
DR-81,Disaster,09/05/1957,KS,,Flood,Floods,09/05/1957,09/05/1957,01/01/1959,Yes,No,Yes,Yes
DR-82,Disaster,04/04/1958,CA,,Flood,Heavy Rainstorms and Flood,04/04/1958,04/04/1958,08/01/1961,Yes,No,Yes,Yes
DR-83,Disaster,05/15/1958,AR,,Flood,Heavy Rainstorms and Floods,05/15/1958,05/15/1958,08/01/1960,Yes,No,Yes,Yes
DR-84,Disaster,05/20/1958,LA,,Flood,Floods,05/20/1958,05/20/1958,09/01/1960,Yes,No,Yes,Yes
DR-85,Disaster,06/06/1958,TX,,Tornado,"Tornadoes, Rain, Hail and Floods",06/06/1958,06/06/1958,03/01/1961,Yes,No,Yes,Yes
DR-86,Disaster,07/05/1958,IA,,Flood,Floods,07/05/1958,07/05/1958,09/01/1960,Yes,No,Yes,Yes
DR-87,Disaster,10/01/1958,NC,,Hurricane,Hurricane and Severe Storm,10/01/1958,10/01/1958,12/01/1960,Yes,No,Yes,Yes
DR-88,Disaster,11/06/1958,KS,,Flood,Floods,11/06/1958,11/06/1958,03/01/1961,Yes,No,Yes,Yes
DR-89,Disaster,01/23/1959,PA,,Flood,Floods,01/23/1959,01/23/1959,03/01/1962,Yes,No,Yes,Yes
DR-90,Disaster,01/23/1959,OH,,Flood,Floods,01/23/1959,01/23/1959,02/26/1963,Yes,No,Yes,Yes
DR-91,Disaster,01/29/1959,IN,Clay County,Flood,Flood,01/29/1959,01/29/1959,11/01/1960,Yes,No,Yes,Yes
DR-92,Disaster,07/08/1959,OK,,Flood,Flood,07/08/1959,07/08/1959,05/01/1961,Yes,No,Yes,Yes
DR-93,Disaster,07/08/1959,TX,,Flood,Floods,07/08/1959,07/08/1959,01/27/1961,Yes,No,Yes,Yes
DR-94,Disaster,08/16/1959,HI,,Hurricane,Hurricane Dot,08/16/1959,08/16/1959,02/27/1961,Yes,No,Yes,Yes
DR-95,Disaster,11/09/1959,OK,,Flood,Heavy Rains and Floods,11/09/1959,11/09/1959,05/19/1961,Yes,No,Yes,Yes
DR-96,Disaster,01/21/1960,HI,,Earthquake,Earthquakes and Volcanic Disturbances,01/21/1960,01/21/1960,06/09/1961,Yes,No,Yes,Yes
DR-97,Disaster,03/23/1960,FL,,Other,Severe Weather Conditions,03/23/1960,03/23/1960,03/20/1962,Yes,No,Yes,Yes
DR-98,Disaster,04/04/1960,NE,,Flood,Floods,04/04/1960,04/04/1960,03/20/1962,Yes,No,Yes,Yes
DR-99,Disaster,04/08/1960,SD,,Flood,Floods,04/08/1960,04/08/1960,11/02/1961,Yes,No,Yes,Yes
DR-100,Disaster,04/20/1960,MO,,Flood,Floods,04/20/1960,04/20/1960,03/20/1962,Yes,No,Yes,Yes
DR-101,Disaster,05/25/1960,HI,,Other,Tidal Waves,05/25/1960,05/25/1960,08/13/1962,Yes,No,Yes,Yes
DR-102,Disaster,05/28/1960,AR,,Tornado,Tornadoes and Floods,05/28/1960,05/28/1960,07/23/1962,Yes,No,Yes,Yes
DR-103,Disaster,07/15/1960,TX,,Storm,"Heavy Rains, Hail, Floods, and Tornadoes",07/15/1960,07/15/1960,10/04/1962,Yes,No,Yes,Yes
DR-104,Disaster,07/15/1960,OK,,Storm,"Heavy Rains, Hail, Floods, and Tornadoes",07/15/1960,07/15/1960,03/20/1962,Yes,No,Yes,Yes
DR-105,Disaster,07/22/1960,ID,,Fire,Fires,07/22/1960,07/22/1960,09/20/1961,Yes,No,Yes,Yes
DR-106,Disaster,09/12/1960,FL,,Hurricane,Hurricane Donna,09/12/1960,09/12/1960,05/24/1962,Yes,No,Yes,Yes
DR-107,Disaster,09/16/1960,NC,,Hurricane,Hurricane Donna,09/16/1960,09/16/1960,03/30/1962,Yes,No,Yes,Yes
DR-108,Disaster,02/27/1961,MS,,Flood,Floods,02/27/1961,02/27/1961,08/23/1962,Yes,No,Yes,Yes
DR-109,Disaster,02/27/1961,AL,,Flood,Floods,02/27/1961,02/27/1961,08/22/1962,Yes,No,Yes,Yes
DR-110,Disaster,03/02/1961,GA,,Flood,Floods,03/02/1961,03/02/1961,07/17/1962,Yes,No,Yes,Yes
DR-111,Disaster,03/31/1961,IA,,Flood,Floods,03/31/1961,03/31/1961,10/23/1962,Yes,No,Yes,Yes
DR-112,Disaster,05/16/1961,AR,,Flood,Floods and Tornadoes,05/16/1961,05/16/1961,01/26/1966,Yes,No,Yes,Yes
DR-113,Disaster,05/20/1961,IN,,Flood,Floods,05/20/1961,05/20/1961,08/29/1963,Yes,No,Yes,Yes
DR-114,Disaster,05/27/1961,MO,,Flood,Floods,05/27/1961,05/27/1961,12/31/1962,Yes,No,Yes,Yes
DR-115,Disaster,05/27/1961,IL,,Flood,Floods and Tornadoes,05/27/1961,05/27/1961,10/14/1963,Yes,No,Yes,Yes
DR-116,Disaster,06/26/1961,ID,,Flood,Floods,06/26/1961,06/26/1961,04/03/1963,Yes,No,Yes,Yes
DR-117,Disaster,07/23/1961,WV,,Flood,Floods,07/23/1961,07/23/1961,03/22/1963,Yes,No,Yes,Yes
DR-118,Disaster,09/16/1961,TX,,Hurricane,Hurricane Carla,09/16/1961,09/16/1961,05/04/1964,Yes,No,Yes,Yes
DR-119,Disaster,11/16/1961,CA,,Fire,Fire,11/16/1961,11/16/1961,08/01/1963,Yes,No,Yes,Yes
DR-120,Disaster,02/14/1962,ID,,Flood,Floods,02/14/1962,02/14/1962,02/19/1964,Yes,No,Yes,Yes
DR-121,Disaster,02/22/1962,NV,,Flood,Floods,02/22/1962,02/22/1962,08/29/1967,Yes,No,Yes,Yes
DR-122,Disaster,03/06/1962,CA,,Flood,Floods,03/06/1962,03/06/1962,02/03/1964,Yes,No,Yes,Yes
DR-123,Disaster,03/09/1962,VA,,Flood,"Severe Storms, High Tides, and Flooding",03/09/1962,03/09/1962,06/18/1964,Yes,No,Yes,Yes
DR-124,Disaster,03/09/1962,NJ,,Flood,"Severe Storm, High Tides, and Flooding",03/09/1962,03/09/1962,10/20/1969,Yes,No,Yes,Yes
DR-125,Disaster,03/09/1962,WV,,Flood,"Severe Storm, High Tides, and Flooding",03/09/1962,03/09/1962,06/23/1964,Yes,No,Yes,Yes
DR-126,Disaster,03/09/1962,DE,,Flood,"Severe Storms, High Tides, and Flooding",03/09/1962,03/09/1962,02/24/1964,Yes,No,Yes,Yes
DR-127,Disaster,03/09/1962,MD,,Flood,"Severe Storms, High Tides, and Flooding",03/09/1962,03/09/1962,12/19/1963,Yes,No,Yes,Yes
DR-128,Disaster,03/12/1962,KY,,Flood,Floods,03/12/1962,03/12/1962,11/09/1964,Yes,No,Yes,Yes
DR-129,Disaster,03/16/1962,NY,,Flood,"Severe Storm, High Tides, and Flooding",03/16/1962,03/16/1962,11/09/1964,Yes,No,Yes,Yes
DR-130,Disaster,03/16/1962,NC,,Flood,"Severe Storm, High Tides, and Flooding",03/16/1962,03/16/1962,10/14/1963,Yes,No,Yes,Yes
DR-131,Disaster,05/10/1962,NE,,Flood,Floods,05/10/1962,05/10/1962,02/28/1964,Yes,No,Yes,Yes
DR-132,Disaster,07/27/1962,SD,,Flood,Floods and Tornadoes,07/27/1962,07/27/1962,01/06/1964,Yes,No,Yes,Yes
DR-133,Disaster,09/05/1962,IA,,Flood,Floods,09/05/1962,09/05/1962,06/23/1964,Yes,No,Yes,Yes
DR-134,Disaster,09/05/1962,NE,,Flood,Floods,09/05/1962,09/05/1962,03/26/1964,Yes,No,Yes,Yes
DR-135,Disaster,10/10/1962,MS,,Chemical,Chlorine Barge Accident,10/10/1962,10/10/1962,06/02/1970,Yes,No,Yes,Yes
DR-136,Disaster,10/16/1962,OR,,Storm,Severe Storms,10/16/1962,10/16/1962,03/03/1964,Yes,No,Yes,Yes
DR-137,Disaster,10/20/1962,WA,,Storm,Severe Storms,10/20/1962,10/20/1962,06/29/1964,Yes,No,Yes,Yes
DR-138,Disaster,10/24/1962,CA,,Flood,Severe Storms and Flooding,10/24/1962,10/24/1962,12/03/1964,Yes,No,Yes,Yes
DR-139,Disaster,11/05/1962,LA,,Chemical,Chlorine Barge Accident,11/05/1962,11/05/1962,07/12/1963,Yes,No,Yes,Yes
DR-140,Disaster,11/12/1962,GU,,Typhoon,Typhoon Karen,11/12/1962,11/12/1962,12/26/1967,Yes,No,Yes,Yes
DR-141,Disaster,12/17/1962,FL,,Flood,High Tides,12/17/1962,12/17/1962,02/28/1964,Yes,No,Yes,Yes
DR-142,Disaster,02/14/1963,NV,,Flood,Floods,02/14/1963,02/14/1963,11/06/1964,Yes,No,Yes,Yes
DR-143,Disaster,02/14/1963,ID,,Flood,Floods,02/14/1963,02/14/1963,04/12/1965,Yes,No,Yes,Yes
DR-144,Disaster,02/25/1963,OR,,Flood,Floods,02/25/1963,02/25/1963,02/28/1964,Yes,No,Yes,Yes
DR-145,Disaster,02/25/1963,CA,,Flood,"Severe Storms, Heavy Rains, and Flooding",02/25/1963,02/25/1963,07/09/1965,Yes,No,Yes,Yes
DR-146,Disaster,03/02/1963,WA,,Flood,Floods,03/02/1963,03/02/1963,03/18/1965,Yes,No,Yes,Yes
DR-147,Disaster,03/13/1963,WV,,Flood,Severe Storms and Flooding,03/13/1963,03/13/1963,08/08/1969,Yes,No,Yes,Yes
DR-148,Disaster,03/13/1963,KY,,Flood,Severe Storms and Flooding,03/13/1963,03/13/1963,10/04/1972,Yes,No,Yes,Yes
DR-149,Disaster,03/21/1963,VA,,Flood,Floods,03/21/1963,03/21/1963,07/09/1965,Yes,No,Yes,Yes
DR-150,Disaster,03/26/1963,GA,,Flood,Severe Storms and Flooding,03/26/1963,03/26/1963,04/22/1964,Yes,No,Yes,Yes
DR-151,Disaster,03/27/1963,TN,,Flood,Severe Storms and Flooding,03/27/1963,03/27/1963,07/06/1964,Yes,No,Yes,Yes
DR-152,Disaster,04/24/1963,HI,,Flood,Heavy Rains and Flooding,04/24/1963,04/24/1963,03/05/1965,Yes,No,Yes,Yes
DR-153,Disaster,04/30/1963,GU,,Typhoon,Typhoon Olive,04/30/1963,04/30/1963,07/26/1967,Yes,No,Yes,Yes
DR-154,Disaster,04/30/1963,FM,,Typhoon,Typhoon Olive,04/30/1963,04/30/1963,09/27/1967,Yes,No,Yes,No
DR-155,Disaster,07/04/1963,WY,,Flood,Heavy Rains and Flooding,07/04/1963,07/04/1963,12/03/1964,Yes,No,Yes,Yes
DR-156,Disaster,07/17/1963,NE,,Flood,Heavy Rains and Flooding,07/17/1963,07/17/1963,04/12/1965,Yes,No,Yes,Yes
DR-157,Disaster,08/02/1963,AR,,Flood,Heavy Rains and Flooding,08/02/1963,08/02/1963,06/27/1966,Yes,No,Yes,Yes
DR-158,Disaster,08/23/1963,NY,,Flood,Heavy Rains and Flooding,08/23/1963,08/23/1963,08/23/1965,Yes,No,Yes,Yes
DR-159,Disaster,09/24/1963,TX,,Hurricane,Hurricane Cindy,09/24/1963,09/24/1963,01/28/1966,Yes,No,Yes,Yes
DR-160,Disaster,11/27/1963,VT,,Drought,Drought and Impending Freeze,11/27/1963,11/27/1963,06/18/1964,Yes,No,Yes,Yes
DR-161,Disaster,12/21/1963,CA,,Dam/Levee Break,Flood Due to Broken Dam,12/21/1963,12/21/1963,06/19/1965,Yes,No,Yes,Yes
DR-162,Disaster,03/17/1964,IN,,Flood,Severe Storms and Flooding,03/17/1964,03/17/1964,12/16/1966,Yes,No,Yes,Yes
DR-163,Disaster,03/17/1964,KY,,Flood,Severe Storms and Flooding,03/17/1964,03/17/1964,03/01/1971,Yes,No,Yes,Yes
DR-164,Disaster,03/17/1964,VT,,Flood,Flooding,03/17/1964,03/17/1964,01/28/1966,Yes,No,Yes,Yes
DR-165,Disaster,03/20/1964,WV,,Flood,Severe Storms and Flooding,03/20/1964,03/20/1964,07/27/1966,Yes,No,Yes,Yes
DR-166,Disaster,03/20/1964,AR,,Flood,Severe Storms and Flooding,03/20/1964,03/20/1964,02/07/1966,Yes,No,Yes,Yes
DR-167,Disaster,03/24/1964,OH,,Flood,Severe Storms and Flooding,03/24/1964,03/24/1964,03/24/1967,Yes,No,Yes,Yes
DR-168,Disaster,03/28/1964,AK,,Earthquake,Earthquake,03/28/1964,03/28/1964,06/17/1971,Yes,No,Yes,Yes
DR-169,Disaster,04/01/1964,CA,,Other,Seismic Sea Wave,04/01/1964,04/01/1964,01/19/1967,Yes,No,Yes,Yes
DR-170,Disaster,05/26/1964,PR,,Drought,Extreme Drought Conditions,05/26/1964,05/26/1964,07/12/1966,Yes,No,Yes,Yes
DR-171,Disaster,06/08/1964,VI,,Drought,Extreme Drought Conditions,06/08/1964,06/08/1964,07/12/1966,Yes,No,Yes,Yes
DR-172,Disaster,06/09/1964,MT,,Flood,Heavy Rains and Flooding,06/09/1964,06/09/1964,04/25/1972,Yes,No,Yes,Yes
DR-173,Disaster,07/08/1964,MO,,Flood,Severe Storms and Flooding,07/08/1964,07/08/1964,07/26/1967,Yes,No,Yes,Yes
DR-174,Disaster,07/20/1964,NE,,Flood,Severe Storms and Flooding,07/20/1964,07/20/1964,01/10/1967,Yes,No,Yes,Yes
DR-175,Disaster,09/08/1964,FL,,Hurricane,Hurricane Cleo,09/08/1964,09/08/1964,01/18/1966,Yes,No,Yes,Yes
DR-176,Disaster,09/10/1964,FL,,Hurricane,Hurricane Dora,09/10/1964,09/10/1964,08/08/1966,Yes,No,Yes,Yes
DR-177,Disaster,09/10/1964,GA,,Hurricane,Hurricane Dora,09/10/1964,09/10/1964,04/18/1966,Yes,No,Yes,Yes
DR-178,Disaster,10/03/1964,LA,,Hurricane,Hurricane Hilda,10/03/1964,10/03/1964,01/17/1967,Yes,No,Yes,Yes
DR-179,Disaster,10/13/1964,NC,,Flood,Severe Storms and Flooding,10/13/1964,10/13/1964,03/07/1966,Yes,No,Yes,Yes
DR-180,Disaster,11/04/1964,GA,,Flood,Flooding,11/04/1964,11/04/1964,04/08/1966,Yes,No,Yes,Yes
DR-181,Disaster,12/10/1964,FM,,Typhoon,Typhoon Louise,12/10/1964,12/10/1964,08/29/1967,Yes,No,Yes,No
DR-182,Disaster,12/18/1964,MT,,Snow,Severe Winter Storm,12/18/1964,12/18/1964,01/07/1966,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Alpine County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Amador County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Butte County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Colusa County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Del Norte County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,El Dorado County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Glenn County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Humboldt County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Lake County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Lassen County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Marin County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Mendocino County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Modoc County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Napa County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Nevada County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Placer County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
DR-183,Disaster,12/24/1964,CA,Plumas County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes
